"collectionunitid","agemodel","ageboundolder","ageboundyounger","dateprepared","chronologies.notes","TEMP_chronid"
4808,"event",1254,644,"2025-01-21",NA,"TEMP360"
4809,"bounds",2374,1364,"2025-01-21",NA,"TEMP361"
4809,"event",2024,1714,"2025-01-21",NA,"TEMP362"
4811,"bounds",36000,29300,"2025-01-21",NA,"TEMP363"
4811,"event",34000,31400,"2025-01-21",NA,"TEMP364"
4813,"bounds",6574,5524,"2025-01-26",NA,"TEMP365"
4813,"event",6334,5714,"2025-01-26",NA,"TEMP366"
4814,"bounds",1654,1434,"2025-01-21",NA,"TEMP367"
4814,"event",1594,1504,"2025-01-21",NA,"TEMP368"
4835,"bounds",2804,594,"2025-01-21",NA,"TEMP369"
4835,"event",2044,1354,"2025-01-21",NA,"TEMP370"
4838,"bounds",5694,4384,"2025-01-21",NA,"TEMP371"
4838,"event",5254,4844,"2025-01-21",NA,"TEMP372"
4839,"bounds",3097,612,"2025-01-26",NA,"TEMP373"
4839,"event",2257,1374,"2025-01-26",NA,"TEMP374"
4840,"bounds",2197,1482,"2025-01-21",NA,"TEMP375"
4840,"event",1954,1724,"2025-01-21",NA,"TEMP376"
4841,"bounds",1354,74,"2025-01-21",NA,"TEMP377"
4841,"event",914,514,"2025-01-21",NA,"TEMP378"
4842,"bounds",2124,1644,"2025-01-21",NA,"TEMP379"
4842,"event",1984,1784,"2025-01-21",NA,"TEMP380"
4843,"bounds",1764,1204,"2025-01-21",NA,"TEMP381"
4843,"event",1564,1364,"2025-01-21",NA,"TEMP382"
4844,"bounds",1404,524,"2025-01-21",NA,"TEMP383"
4844,"event",1114,794,"2025-01-21",NA,"TEMP384"
4845,"bounds",10994,234,"2025-01-26",NA,"TEMP385"
4845,"event",10024,604,"2025-01-26",NA,"TEMP386"
4848,"bounds",764,204,"2025-01-21",NA,"TEMP387"
4848,"event",594,394,"2025-01-21",NA,"TEMP388"
4854,"bounds",1014,14,"2025-01-21",NA,"TEMP389"
4854,"event",664,364,"2025-01-21",NA,"TEMP390"
4855,"bounds",514,344,"2025-01-21",NA,"TEMP391"
4855,"event",474,384,"2025-01-21",NA,"TEMP392"
4859,"bounds",904,664,"2025-01-21",NA,"TEMP393"
4859,"event",824,744,"2025-01-21",NA,"TEMP394"
4861,"bounds",644,534,"2025-01-21",NA,"TEMP395"
4861,"event",614,564,"2025-01-21",NA,"TEMP396"
4862,"bounds",1054,424,"2025-01-21",NA,"TEMP397"
4862,"event",834,634,"2025-01-21",NA,"TEMP398"
4863,"bounds",904,784,"2025-01-21",NA,"TEMP399"
4863,"event",874,814,"2025-01-21",NA,"TEMP400"
4864,"bounds",904,804,"2025-01-21",NA,"TEMP401"
4864,"event",884,834,"2025-01-21",NA,"TEMP402"
4871,"bounds",2024,1244,"2025-01-26",NA,"TEMP403"
4871,"event",1804,1447,"2025-01-26",NA,"TEMP404"
4872,"bounds",2164,1314,"2025-01-21",NA,"TEMP405"
4872,"event",1874,1584,"2025-01-21",NA,"TEMP406"
4875,"bounds",1074,734,"2025-01-21",NA,"TEMP407"
4875,"event",974,864,"2025-01-21",NA,"TEMP408"
4876,"bounds",1794,-16,"2025-01-26",NA,"TEMP409"
4876,"event",1184,554,"2025-01-26",NA,"TEMP410"
4880,"bounds",1114,334,"2025-01-21",NA,"TEMP411"
4880,"event",834,564,"2025-01-21",NA,"TEMP412"
4884,"bounds",914,124,"2025-01-21",NA,"TEMP413"
4884,"event",664,394,"2025-01-21",NA,"TEMP414"
4888,"bounds",774,504,"2025-01-21",NA,"TEMP415"
4888,"event",694,574,"2025-01-21",NA,"TEMP416"
4889,"bounds",16200,347,"2025-01-26",NA,"TEMP417"
4889,"event",11900,397,"2025-01-26",NA,"TEMP418"
4890,"bounds",694,-46,"2025-01-21",NA,"TEMP419"
4890,"event",454,204,"2025-01-21",NA,"TEMP420"
4891,"bounds",824,664,"2025-01-21",NA,"TEMP421"
4891,"event",774,714,"2025-01-21",NA,"TEMP422"
4892,"bounds",844,634,"2025-01-21",NA,"TEMP423"
4892,"event",774,694,"2025-01-21",NA,"TEMP424"
4893,"bounds",704,514,"2025-01-21",NA,"TEMP425"
4893,"event",644,574,"2025-01-21",NA,"TEMP426"
4894,"bounds",914,774,"2025-01-21",NA,"TEMP427"
4894,"event",884,814,"2025-01-21",NA,"TEMP428"
