"collectionunitid","analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger","source","TEMP_chronid"
15855,166238,"event",8364,8704,8054,"computed","TEMP2172"
15855,166238,"bounds",NA,9384,7394,"computed","TEMP2171"
15856,166239,"event",11574,11984,11184,"computed","TEMP2174"
15856,166239,"bounds",NA,12864,10304,"computed","TEMP2173"
16114,170588,"event",2484,2704,2254,"computed","TEMP2176"
16114,170588,"bounds",NA,3164,1804,"computed","TEMP2175"
16115,170589,"event",12864,13084,12614,"computed","TEMP2178"
16115,170589,"bounds",NA,13614,12094,"computed","TEMP2177"
16116,170590,"event",12954,13674,12234,"computed","TEMP2180"
16116,170590,"bounds",NA,15364,10554,"computed","TEMP2179"
16117,170591,"event",2264,2424,2114,"computed","TEMP2182"
16117,170591,"bounds",NA,2774,1764,"computed","TEMP2181"
16255,173128,"event",4474,4824,4114,"computed","TEMP2184"
16255,173128,"bounds",NA,5604,3344,"computed","TEMP2183"
16264,173142,"event",10784,11164,10434,"computed","TEMP2186"
16264,173143,"event",6364,6584,6134,"computed","TEMP2186"
16264,173144,"event",11664,12034,11324,"computed","TEMP2186"
16264,173145,"event",2924,3164,2704,"computed","TEMP2186"
16264,173146,"event",1924,2174,1684,"computed","TEMP2186"
16264,173142,"bounds",NA,11914,9684,"computed","TEMP2185"
16264,173143,"bounds",NA,7044,5674,"computed","TEMP2185"
16264,173144,"bounds",NA,12734,10624,"computed","TEMP2185"
16264,173145,"bounds",NA,3644,2214,"computed","TEMP2185"
16264,173146,"bounds",NA,2714,1154,"computed","TEMP2185"
16266,173148,"event",8574,8814,8394,"computed","TEMP2188"
16266,173148,"bounds",NA,9234,7964,"computed","TEMP2187"
